Accession	Organism_Name	GenBank_RefSeq	Assembly	Submitters	Organization	Org_location	Release_Date	Isolate	Species	Length	Nuc_Completeness	Geo_Location	Country	USA	Host	Tissue_Specimen_Source	Collection_Date
OR726587.1	rhinovirus C1	GenBank		Sereewit,J., Kong,K., Xie,H., Roychoudhury,P., Greninger,A.L.	UW Medicine Laboratory Medicine and Pathology, Virology Division	USA	2023-11-12		Rhinovirus C	6954	complete	USA: WA	USA	WA	Homo sapiens	oronasopharynx	2021-01
OR220808.1	Rhinovirus C	GenBank		Guo,L., Liang,Y., Zhou,J., Gao,Y., Wang,M.	Yunnan Institute of Pediatrics, Kunming Children's Hospital	China	2023-09-13	HRVC318/China/Kunming/2023/LZG	Rhinovirus C	7069	complete	China	China		Homo sapiens		2023-02-23
OQ116581.1	rhinovirus C13	GenBank		Zinter,M.S., Mayday,M.Y., Pearce,E.M., Simon,M.R., Reyes,G., DeRisi,J.L.	UCSF, Pediatrics	USA	2023-06-10		Rhinovirus C	7056	complete	USA	USA		Homo sapiens	lung	2019
OQ116583.1	rhinovirus C17	GenBank		Reyes,G., Simon,M.R., Pearce,E.M., Mayday,M.Y., DeRisi,J.L.	UCSF, Pediatrics	USA	2023-06-10		Rhinovirus C	7067	complete	USA	USA		Homo sapiens	lung	2019
ON881125.1	rhinovirus C2	GenBank		Xie,Z.	Beijing Pediatric Research Institute, Laboratory of Infection and Virology	China	2023-03-25	GY18049	Rhinovirus C	7064	complete	China	China		Homo sapiens	oronasopharynx	2018-03-08
ON881126.1	rhinovirus C2	GenBank		Xie,Z.	Beijing Pediatric Research Institute, Laboratory of Infection and Virology	China	2023-03-25	GY18139	Rhinovirus C	7064	complete	China	China		Homo sapiens	oronasopharynx	2018-10-26
ON881127.1	rhinovirus C2	GenBank		Xie,Z.	Beijing Pediatric Research Institute, Laboratory of Infection and Virology	China	2023-03-25	WZ17258	Rhinovirus C	7064	complete	China	China		Homo sapiens	oronasopharynx	2018-11-10
ON881128.1	rhinovirus C2	GenBank		Xie,Z.	Beijing Pediatric Research Institute, Laboratory of Infection and Virology	China	2023-03-25	WZ17237	Rhinovirus C	7064	complete	China	China		Homo sapiens	oronasopharynx	2018-10-22
ON881129.1	rhinovirus C2	GenBank		Xie,Z.	Beijing Pediatric Research Institute, Laboratory of Infection and Virology	China	2023-03-25	WZ17242	Rhinovirus C	7064	complete	China	China		Homo sapiens	oronasopharynx	2018-10-27
ON881130.1	rhinovirus C2	GenBank		Xie,Z.	Beijing Pediatric Research Institute, Laboratory of Infection and Virology	China	2023-03-25	WZ17267	Rhinovirus C	7064	complete	China	China		Homo sapiens	oronasopharynx	2018-11-19
ON881131.1	rhinovirus C2	GenBank		Xie,Z.	Beijing Pediatric Research Institute, Laboratory of Infection and Virology	China	2023-03-25	GZFE18042	Rhinovirus C	7064	complete	China	China		Homo sapiens	oronasopharynx	2018-07-30
ON881132.1	rhinovirus C2	GenBank		Xie,Z.	Beijing Pediatric Research Institute, Laboratory of Infection and Virology	China	2023-03-25	GZFE18043	Rhinovirus C	7064	complete	China	China		Homo sapiens	oronasopharynx	2018-08-02
ON881133.1	rhinovirus C2	GenBank		Xie,Z.	Beijing Pediatric Research Institute, Laboratory of Infection and Virology	China	2023-03-25	WZ17201	Rhinovirus C	7064	complete	China	China		Homo sapiens	oronasopharynx	2018-05-29
ON881134.1	rhinovirus C2	GenBank		Xie,Z.	Beijing Pediatric Research Institute, Laboratory of Infection and Virology	China	2023-03-25	WZ17233	Rhinovirus C	7064	complete	China	China		Homo sapiens	oronasopharynx	2018-10-19
ON881135.1	rhinovirus C2	GenBank		Xie,Z.	Beijing Pediatric Research Institute, Laboratory of Infection and Virology	China	2023-03-25	WZ17246	Rhinovirus C	7064	complete	China	China		Homo sapiens	oronasopharynx	2018-10-30
ON881136.1	rhinovirus C2	GenBank		Xie,Z.	Beijing Pediatric Research Institute, Laboratory of Infection and Virology	China	2023-03-25	WZ17241	Rhinovirus C	7064	complete	China	China		Homo sapiens	oronasopharynx	2018-10-26
ON881137.1	rhinovirus C5	GenBank		Xie,Z.	Beijing Pediatric Research Institute, Laboratory of Infection and Virology	China	2023-03-25	GY18212	Rhinovirus C	7113	complete	China	China		Homo sapiens	oronasopharynx	2018-12-27
ON881138.1	rhinovirus C53	GenBank		Xie,Z.	Beijing Pediatric Research Institute, Laboratory of Infection and Virology	China	2023-03-25	GY17017	Rhinovirus C	7145	complete	China	China		Homo sapiens	oronasopharynx	2017-12-18
ON881139.1	rhinovirus C53	GenBank		Xie,Z.	Beijing Pediatric Research Institute, Laboratory of Infection and Virology	China	2023-03-25	GZFE17033	Rhinovirus C	7146	complete	China	China		Homo sapiens	oronasopharynx	2018-03-26
ON881140.1	rhinovirus C53	GenBank		Xie,Z.	Beijing Pediatric Research Institute, Laboratory of Infection and Virology	China	2023-03-25	GZFE17044	Rhinovirus C	7146	complete	China	China		Homo sapiens	oronasopharynx	2018-04-25
ON881141.1	rhinovirus C53	GenBank		Xie,Z.	Beijing Pediatric Research Institute, Laboratory of Infection and Virology	China	2023-03-25	GZFE17049	Rhinovirus C	7146	complete	China	China		Homo sapiens	oronasopharynx	2018-04-25
ON881142.1	rhinovirus C53	GenBank		Xie,Z.	Beijing Pediatric Research Institute, Laboratory of Infection and Virology	China	2023-03-25	WZ17195	Rhinovirus C	7146	complete	China	China		Homo sapiens	oronasopharynx	2018-05-24
OQ331222.1	rhinovirus C19	GenBank		Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.	UW Virology, Laboratory Medicine	USA	2023-02-26	RvC19/USA/cf466/2020	Rhinovirus C	7076	complete	USA: WA	USA	WA	Homo sapiens		2020-03
OQ331223.1	rhinovirus C26	GenBank		Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.	UW Virology, Laboratory Medicine	USA	2023-02-26	RvC26/USA/f25a5/2020	Rhinovirus C	7060	complete	USA: WA	USA	WA	Homo sapiens		2020-03
OQ348028.1	rhinovirus C11	GenBank		Sereewit,J., Goya,S., Greninger,A.L.	UW Virology, Laboratory Medicine	USA	2023-02-06	RvC11/USA/2022/01112	Rhinovirus C	7041	complete	USA: WA	USA	WA	Homo sapiens		2022-11
LC720414.1	rhinovirus C6	GenBank		Shirato,K., Kume,Y., Suwa,R., Kawase,M., Ono,T., Chishiki,M., Okabe,H., Norito,S., Sato,M., Sakuma,H., Suzuki,S., Hosoya,M., Takeda,M., Hashimoto,K.	Virology III; 4-7-1 Gakuen, Musashimurayama, Tokyo 208-0011	Japan	2022-07-30	HRV_C6_Fukushima_C6_2021	Rhinovirus C	7149	complete	Japan: Fukushima	Japan		Homo sapiens		2021
LC720415.1	rhinovirus C55	GenBank		Shirato,K., Kume,Y., Suwa,R., Kawase,M., Ono,T., Chishiki,M., Okabe,H., Norito,S., Sato,M., Sakuma,H., Suzuki,S., Hosoya,M., Takeda,M., Hashimoto,K.	Virology III; 4-7-1 Gakuen, Musashimurayama, Tokyo 208-0011	Japan	2022-07-30	HRV_C55_Fukushima_C463_2020	Rhinovirus C	7067	complete	Japan: Fukushima	Japan		Homo sapiens		2021
ON729335.1	rhinovirus C34	GenBank		Sereewit,J., Xie,H., Greninger,A.	UW Virology, Laboratory Medicine		2022-07-20		Rhinovirus C	7060	complete	USA	USA		Homo sapiens		2017
LC699425.1	rhinovirus C3	GenBank		Egawa,K., Kakizaki,M., Kume,Y., Suwa,R., Kawase,M., Ono,T., Chishiki,M., Okabe,H., Norito,S., Sato,M., Sakuma,H., Suzuki,S., Hosoya,M., Takeda,M., Hashimoto,K., Shirato,K., Sugimoto,S.	Department of Virology III; 4-7-1 Gakuen, Musashimurayama, Tokyo 208-0011	Japan	2022-03-23	HRV_C3_Fukushima_H399_2018	Rhinovirus C	7041	complete	Japan: Fukushima	Japan		Homo sapiens		2018
OL365066.1	rhinovirus C15	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2022-01-04		Rhinovirus C	6999	complete	USA	USA		Homo sapiens		2021-06-15
OL365068.1	rhinovirus C8	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2022-01-04		Rhinovirus C	7065	complete	USA	USA		Homo sapiens		2021
OL365070.1	rhinovirus C17	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2022-01-04		Rhinovirus C	7051	complete	USA	USA		Homo sapiens		2021-06-28
OL638409.1	rhinovirus C15	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2022-01-04	5MT6FT	Rhinovirus C	6999	complete	USA	USA		Homo sapiens		2021-07-10
OL638426.1	rhinovirus C42	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2022-01-04	D6RUSG	Rhinovirus C	7106	complete	USA	USA		Homo sapiens		2021-06-18
OL638433.1	rhinovirus C15	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2022-01-04	GNFRBU	Rhinovirus C	7014	complete	USA	USA		Homo sapiens		2021-06-18
OL638453.1	rhinovirus C31	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2022-01-04	SEA4HH	Rhinovirus C	6989	complete	USA	USA		Homo sapiens		2021-06-18
OL961518.1	rhinovirus C20	GenBank		Greninger,A.L., Xie,H., Cruz,K., Sereewit,J., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2022-01-04		Rhinovirus C	7064	complete	USA	USA		Homo sapiens		2021
OL961524.1	rhinovirus C13	GenBank		Greninger,A.L., Xie,H., Cruz,K., Sereewit,J., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2022-01-04		Rhinovirus C	7060	complete	USA	USA		Homo sapiens		2021-05-12
OL961526.1	rhinovirus C17	GenBank		Greninger,A.L., Xie,H., Cruz,K., Sereewit,J., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2022-01-04		Rhinovirus C	7058	complete	USA	USA		Homo sapiens		2021-07-06
OL961531.1	rhinovirus C13	GenBank		Greninger,A.L., Xie,H., Cruz,K., Sereewit,J., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2022-01-04		Rhinovirus C	7059	complete	USA	USA		Homo sapiens		2021-05-27
OL961535.1	rhinovirus C44	GenBank		Greninger,A.L., Xie,H., Cruz,K., Sereewit,J., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2022-01-04		Rhinovirus C	6911	complete	USA	USA		Homo sapiens		2021
OL961537.1	rhinovirus C3	GenBank		Greninger,A.L., Xie,H., Cruz,K., Sereewit,J., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2022-01-04		Rhinovirus C	7048	complete	USA	USA		Homo sapiens		2021
OL961544.1	rhinovirus C44	GenBank		Greninger,A.L., Xie,H., Cruz,K., Sereewit,J., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2022-01-04		Rhinovirus C	6911	complete	USA	USA		Homo sapiens		2021
OM001344.1	rhinovirus C11	GenBank		Greninger,A.L., Xie,H., Cruz,K., Sereewit,J., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2022-01-04		Rhinovirus C	7065	complete	USA	USA		Homo sapiens		2021
OM001346.1	rhinovirus C33	GenBank		Greninger,A.L., Xie,H., Cruz,K., Sereewit,J., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2022-01-04		Rhinovirus C	7073	complete	USA	USA		Homo sapiens		2021-06-22
OM001354.1	rhinovirus C1	GenBank		Greninger,A.L., Xie,H., Cruz,K., Sereewit,J., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2022-01-04		Rhinovirus C	6946	complete	USA	USA		Homo sapiens		2021
OM001407.1	rhinovirus C1	GenBank		Greninger,A.L., Xie,H., Cruz,K., Sereewit,J., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2022-01-04		Rhinovirus C	6946	complete	USA	USA		Homo sapiens		2021-07-02
OM001408.1	rhinovirus C7	GenBank		Greninger,A.L., Xie,H., Cruz,K., Sereewit,J., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2022-01-04		Rhinovirus C	7022	complete	USA	USA		Homo sapiens		2021
OM001412.1	rhinovirus C44	GenBank		Greninger,A.L., Xie,H., Cruz,K., Sereewit,J., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2022-01-04		Rhinovirus C	7069	complete	USA	USA		Homo sapiens		2021-06-22
OM001437.1	rhinovirus C36	GenBank		Greninger,A.L., Xie,H., Cruz,K., Sereewit,J., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2022-01-04		Rhinovirus C	7026	complete	USA	USA		Homo sapiens		2021
OM001438.1	rhinovirus C7	GenBank		Greninger,A.L., Xie,H., Cruz,K., Sereewit,J., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2022-01-04		Rhinovirus C	7039	complete	USA	USA		Homo sapiens		2021
OM001443.1	rhinovirus C55	GenBank		Greninger,A.L., Xie,H., Cruz,K., Sereewit,J., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2022-01-04		Rhinovirus C	7045	complete	USA	USA		Homo sapiens		2021
OM001451.1	rhinovirus C7	GenBank		Greninger,A.L., Xie,H., Cruz,K., Sereewit,J., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2022-01-04		Rhinovirus C	7039	complete	USA	USA		Homo sapiens		2021
OM001455.1	rhinovirus C3	GenBank		Greninger,A.L., Xie,H., Cruz,K., Sereewit,J., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2022-01-04		Rhinovirus C	7033	complete	USA	USA		Homo sapiens		2021
OM001465.1	rhinovirus C11	GenBank		Greninger,A.L., Xie,H., Cruz,K., Sereewit,J., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2022-01-04		Rhinovirus C	7069	complete	USA	USA		Homo sapiens		2021-06-21
OK254823.1	rhinovirus C33	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-12-11		Rhinovirus C	7073	complete	USA	USA		Homo sapiens		2021
OK254829.1	rhinovirus C1	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-12-11		Rhinovirus C	6946	complete	USA	USA		Homo sapiens		2021-06-22
OK254850.1	rhinovirus C7	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-12-11		Rhinovirus C	7073	complete	USA	USA		Homo sapiens		2021-06-22
OK254853.1	rhinovirus C11	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-12-11		Rhinovirus C	7069	complete	USA	USA		Homo sapiens		2021-06-21
OK254856.1	rhinovirus C36	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-12-11		Rhinovirus C	7026	complete	USA	USA		Homo sapiens		2021-06-22
OK254858.1	rhinovirus C40	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-12-11		Rhinovirus C	7044	complete	USA	USA		Homo sapiens		2021-06-29
OK254863.1	rhinovirus C11	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-12-11		Rhinovirus C	7065	complete	USA	USA		Homo sapiens		2021-06-22
OK539499.1	rhinovirus C33	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-12-11		Rhinovirus C	7073	complete	USA	USA		Homo sapiens		2021-07-02
OK539509.1	rhinovirus C1	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-12-11		Rhinovirus C	6946	complete	USA	USA		Homo sapiens		2021-07-14
OK649363.1	rhinovirus C42	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-12-11		Rhinovirus C	7106	complete	USA	USA		Homo sapiens		2021
OK649386.1	rhinovirus C43	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-12-11		Rhinovirus C	6954	complete	USA	USA		Homo sapiens		2021
OK649391.1	rhinovirus C9	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-12-11		Rhinovirus C	7111	complete	USA	USA		Homo sapiens		2021-06-16
OK649407.1	rhinovirus C11	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-12-11		Rhinovirus C	7065	complete	USA	USA		Homo sapiens		2021
OK649416.1	rhinovirus C15	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-12-11	TQ6J3E	Rhinovirus C	6999	complete	USA	USA		Homo sapiens		2021-06-16
OK649422.1	rhinovirus C11	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-12-11		Rhinovirus C	7065	complete	USA	USA		Homo sapiens		2021-06-16
OL133730.1	rhinovirus C42	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-12-11		Rhinovirus C	7106	complete	USA	USA		Homo sapiens		2021
OL133756.1	rhinovirus C9	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-12-11		Rhinovirus C	7103	complete	USA	USA		Homo sapiens		2021-07-15
OL133760.1	rhinovirus C1	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-12-11		Rhinovirus C	6946	complete	USA	USA		Homo sapiens		2021-07-15
OK017909.1	rhinovirus C31	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-09-28		Rhinovirus C	6989	complete	USA	USA		Homo sapiens		2021
OK017910.1	rhinovirus C11	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-09-28		Rhinovirus C	7065	complete	USA	USA		Homo sapiens		2021
OK017913.1	rhinovirus C20	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-09-28		Rhinovirus C	7084	complete	USA	USA		Homo sapiens		2021-05-25
OK017915.1	rhinovirus C28	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-09-28		Rhinovirus C	7075	complete	USA	USA		Homo sapiens		2021-05-27
OK017918.1	rhinovirus C1	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-09-28		Rhinovirus C	6930	complete	USA	USA		Homo sapiens		2021-05-25
OK017923.1	rhinovirus C20	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-09-28		Rhinovirus C	7091	complete	USA	USA		Homo sapiens		2021
OK017926.1	rhinovirus C33	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-09-28		Rhinovirus C	7072	complete	USA	USA		Homo sapiens		2021-05-25
OK017927.1	rhinovirus C11	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-09-28		Rhinovirus C	7064	complete	USA	USA		Homo sapiens		2021-05-27
OK017931.1	rhinovirus C3	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-09-28		Rhinovirus C	7048	complete	USA	USA		Homo sapiens		2021-05-25
OK017934.1	rhinovirus C20	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-09-28		Rhinovirus C	7081	complete	USA	USA		Homo sapiens		2021-05-25
OK017938.1	rhinovirus C44	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-09-28		Rhinovirus C	6911	complete	USA	USA		Homo sapiens		2021-05-27
OK017942.1	rhinovirus C15	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-09-28		Rhinovirus C	7033	complete	USA	USA		Homo sapiens		2021-05-27
OK017944.1	rhinovirus C11	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-09-28		Rhinovirus C	7069	complete	USA	USA		Homo sapiens		2021-05-27
OK017945.1	rhinovirus C17	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-09-28		Rhinovirus C	7069	complete	USA	USA		Homo sapiens		2021-05-25
OK017948.1	rhinovirus C20	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-09-28		Rhinovirus C	7087	complete	USA	USA		Homo sapiens		2021-05-25
OK017949.1	rhinovirus C3	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-09-28		Rhinovirus C	7041	complete	USA	USA		Homo sapiens		2021
OK017951.1	rhinovirus C33	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-09-28		Rhinovirus C	7072	complete	USA	USA		Homo sapiens		2021-05-25
OK017953.1	rhinovirus C36	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-09-28		Rhinovirus C	7025	complete	USA	USA		Homo sapiens		2021-05-25
OK017955.1	rhinovirus C17	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-09-28		Rhinovirus C	7069	complete	USA	USA		Homo sapiens		2021-05-27
OK017957.1	rhinovirus C36	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-09-28		Rhinovirus C	7058	complete	USA	USA		Homo sapiens		2021
OK161364.1	rhinovirus C2	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-09-28		Rhinovirus C	7064	complete	USA	USA		Homo sapiens		2021-06-08
OK161367.1	rhinovirus C3	GenBank		Greninger,A.L., Xie,H., Cruz,K., Phung,Q., Lin,M.J.	UW Virology, DLMP	USA	2021-09-28		Rhinovirus C	7033	complete	USA	USA		Homo sapiens		2021-06-14
