"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Rhinovirus","GO:1903900","regulation of viral life cycle","32/327","146/18986",0.219178082191781,12.7257341544133,18.8282959908017,2.37666285479475e-26,8.1649172075176e-24,6.02694408153692e-24,"IFIT1/OASL/RSAD2/OAS2/IFIH1/SHFL/ISG15/MX1/OAS1/EIF2AK2/BST2/IFIT5/ZC3HAV1/OAS3/IFITM1/TNF/TRIM5/TRIM25/TRIM22/TRIM21/APOBEC3G/IFNB1/IFI16/PLSCR1/ZNFX1/TRIM6/APOBEC3F/AXL/LY6E/IFITM2/LAMP3/GBP7",32
"Rhinovirus","GO:0002218","activation of innate immune response","43/327","317/18986",0.135646687697161,7.87580431993363,16.342842919879,4.16567573320306e-26,1.31184071631453e-23,9.68336902893695e-24,"OASL/RSAD2/IFI35/RIGI/IFIH1/ACOD1/IRF7/OAS1/EIF2AK2/ZC3HAV1/GBP5/DDX60/OAS3/GBP2/TNF/TRIM5/TRIM25/IRF1/UNC93B1/CGAS/AIM2/IFI16/RNF125/NMI/DHX58/HSPA1B/MAP2K6/ZNFX1/CD274/TREX1/HSPA1A/NFKBIZ/BIRC3/MEFV/TNFAIP3/APPL2/MYD88/TLR3/NOD2/IKBKE/FFAR2/NFKBIA/CASP1",43
"Rhinovirus","GO:0002221","pattern recognition receptor signaling pathway","40/327","278/18986",0.143884892086331,8.35412404021737,16.352142488051,2.5395247891887e-25,7.38220321411086e-23,5.44918274603244e-23,"OASL/RSAD2/IFI35/RIGI/IFIH1/ACOD1/IRF7/OAS1/EIF2AK2/ZC3HAV1/GBP5/DDX60/OAS3/GBP2/TNF/TRIM25/IRF1/UNC93B1/CGAS/AIM2/IFI16/RNF125/NMI/DHX58/HSPA1B/MAP2K6/CD274/TREX1/HSPA1A/NFKBIZ/BIRC3/MEFV/TNFAIP3/APPL2/MYD88/TLR3/NOD2/FFAR2/NFKBIA/CASP1",40
"Rhinovirus","GO:0045069","regulation of viral genome replication","25/327","85/18986",0.294117647058824,17.0768123763267,19.6653649246356,2.73808434816984e-24,7.39087196552416e-22,5.4555815959775e-22,"IFIT1/OASL/RSAD2/OAS2/IFIH1/SHFL/ISG15/MX1/OAS1/EIF2AK2/BST2/IFIT5/ZC3HAV1/OAS3/IFITM1/TNF/APOBEC3G/IFNB1/IFI16/PLSCR1/ZNFX1/TRIM6/APOBEC3F/IFITM2/GBP7",25
"Rhinovirus","GO:0002758","innate immune response-activating signaling pathway","40/327","297/18986",0.134680134680135,7.81968512855363,15.6813883652541,3.2734346974505e-24,7.78578820827772e-22,5.74708952575479e-22,"OASL/RSAD2/IFI35/RIGI/IFIH1/ACOD1/IRF7/OAS1/EIF2AK2/ZC3HAV1/GBP5/DDX60/OAS3/GBP2/TNF/TRIM25/IRF1/UNC93B1/CGAS/AIM2/IFI16/RNF125/NMI/DHX58/HSPA1B/MAP2K6/CD274/TREX1/HSPA1A/NFKBIZ/BIRC3/MEFV/TNFAIP3/APPL2/MYD88/TLR3/NOD2/FFAR2/NFKBIA/CASP1",40
"Rhinovirus","GO:0019079","viral genome replication","29/327","130/18986",0.223076923076923,12.9521053869678,18.1019891382014,3.2964438034518e-24,7.78578820827772e-22,5.74708952575479e-22,"IFIT1/OASL/RSAD2/OAS2/IFIH1/SHFL/ISG15/MX1/OAS1/EIF2AK2/BST2/IFIT5/CCL8/ZC3HAV1/OAS3/IFI27/IFITM1/TNF/APOBEC3G/ZC3H12A/IFNB1/IFI16/PLSCR1/ZNFX1/TRIM6/APOBEC3F/IFITM2/GBP7/CCL2",29
"Rhinovirus","GO:0035456","response to interferon-beta","18/327","34/18986",0.529411764705882,30.738262277388,22.9753701433332,1.91316644719852e-23,4.25285647291954e-21,3.13925144586755e-21,"XAF1/SHFL/PNPT1/ACOD1/OAS1/BST2/STAT1/IFITM1/IRF1/IFNB1/AIM2/IFI16/PLSCR1/TRIM6/TREX1/IFITM2/TLR3/IKBKE",18
"Rhinovirus","GO:0034341","response to type II interferon","26/327","121/18986",0.214876033057851,12.4759521823742,16.7643996330334,2.26507533773158e-21,4.75539983404868e-19,3.51020447075361e-19,"SHFL/ACOD1/BST2/GBP1/PARP9/STAT1/GBP5/GCH1/PARP14/GBP2/IFITM1/TNF/TRIM21/IRF1/GBP4/NLRC5/JAK2/NUB1/MEFV/CD40/IFITM2/GBP7/TLR3/CCL2/CASP1/CD47",26
"Rhinovirus","GO:0002753","cytoplasmic pattern recognition receptor signaling pathway","30/327","178/18986",0.168539325842697,9.78558911452428,15.5899447503494,2.99561615200814e-21,5.9581228623362e-19,4.39799601264353e-19,"OASL/RSAD2/RIGI/IFIH1/IRF7/OAS1/EIF2AK2/ZC3HAV1/GBP5/DDX60/OAS3/GBP2/TNF/TRIM25/UNC93B1/CGAS/IFI16/RNF125/DHX58/HSPA1B/MAP2K6/TREX1/HSPA1A/BIRC3/MEFV/TNFAIP3/MYD88/TLR3/NOD2/NFKBIA",30
"Rhinovirus","GO:0034340","response to type I interferon","23/327","92/18986",0.25,14.5152905198777,17.2025305766484,1.19418291188602e-20,2.25640861200863e-18,1.66557090341997e-18,"IFIT1/OASL/OAS2/IFIH1/SHFL/ISG15/MX1/IRF7/OAS1/STAT2/USP18/STAT1/OAS3/IFI27/IFITM1/IFNB1/NLRC5/TRIM6/TREX1/TRIM56/IFITM2/MYD88/IKBKE",23
"Rhinovirus","GO:0140888","interferon-mediated signaling pathway","24/327","112/18986",0.214285714285714,12.4416775884666,16.0768787526786,8.71730763045781e-20,1.56870026359524e-17,1.15793810630141e-17,"OASL/OAS2/IFIH1/ISG15/IRF7/OAS1/STAT2/PARP9/USP18/STAT1/OAS3/IFI27/PARP14/IFITM1/IRF1/IFNB1/NLRC5/JAK2/TRIM6/TREX1/TRIM56/IFITM2/MYD88/IKBKE",24
"Rhinovirus","GO:0002237","response to molecule of bacterial origin","39/327","375/18986",0.104,6.03836085626911,13.0453292059774,1.56545435413355e-19,2.55002648918134e-17,1.88230531505984e-17,"CMPK2/ACOD1/GBP5/CXCL10/GCH1/GBP2/TNF/TRIM5/TAP2/ZC3H12A/FZD5/JAK2/CD80/CNP/ADM/TRIM6/CD274/PDCD1LG2/IL6/PTGS2/CASP7/IDO1/NFKBIZ/CXCL11/P2RX7/AXL/CD40/TNFAIP3/PDE4B/PTGER2/STAP1/CCR7/LILRB1/MYD88/LILRB2/NOD2/CCL2/NFKBIA/CASP1",39
"Rhinovirus","GO:0032479","regulation of type I interferon production","25/327","128/18986",0.1953125,11.3400707186544,15.5387354524945,1.61949287484393e-19,2.55002648918134e-17,1.88230531505984e-17,"XAF1/OAS2/RIGI/IFIH1/ISG15/ACOD1/IRF7/OAS1/ZC3HAV1/STAT1/SIGLEC1/OAS3/TRIM21/IRF1/CGAS/RNF125/NMI/DHX58/TREX1/TRIM56/LILRB1/MYD88/GBP7/TLR3/IKBKE",25
"Rhinovirus","GO:0032606","type I interferon production","25/327","128/18986",0.1953125,11.3400707186544,15.5387354524945,1.61949287484393e-19,2.55002648918134e-17,1.88230531505984e-17,"XAF1/OAS2/RIGI/IFIH1/ISG15/ACOD1/IRF7/OAS1/ZC3HAV1/STAT1/SIGLEC1/OAS3/TRIM21/IRF1/CGAS/RNF125/NMI/DHX58/TREX1/TRIM56/LILRB1/MYD88/GBP7/TLR3/IKBKE",25
"Rhinovirus","GO:0071357","cellular response to type I interferon","21/327","86/18986",0.244186046511628,14.1777256240666,16.2141347897859,9.98878203313941e-19,1.50990429212935e-16,1.11453778475029e-16,"IFIT1/OASL/OAS2/IFIH1/ISG15/IRF7/OAS1/STAT2/USP18/STAT1/OAS3/IFI27/IFITM1/IFNB1/NLRC5/TRIM6/TREX1/TRIM56/IFITM2/MYD88/IKBKE",21
"Rhinovirus","GO:0032496","response to lipopolysaccharide","37/327","354/18986",0.104519774011299,6.06853953938389,12.743529443789,1.20110782543477e-18,1.74576402781461e-16,1.28863795036524e-16,"CMPK2/ACOD1/GBP5/CXCL10/GCH1/GBP2/TNF/TRIM5/ZC3H12A/JAK2/CD80/CNP/ADM/TRIM6/CD274/PDCD1LG2/IL6/PTGS2/CASP7/IDO1/NFKBIZ/CXCL11/P2RX7/AXL/CD40/TNFAIP3/PDE4B/PTGER2/STAP1/CCR7/LILRB1/MYD88/LILRB2/NOD2/CCL2/NFKBIA/CASP1",37
"Rhinovirus","GO:0060337","type I interferon-mediated signaling pathway","20/327","85/18986",0.235294117647059,13.6614499010613,15.4876493518085,1.50558126942715e-17,2.10725615450564e-15,1.55547382611382e-15,"OASL/OAS2/IFIH1/ISG15/IRF7/OAS1/STAT2/USP18/STAT1/OAS3/IFI27/IFITM1/IFNB1/NLRC5/TRIM6/TREX1/TRIM56/IFITM2/MYD88/IKBKE",20
"Rhinovirus","GO:0050691","regulation of defense response to virus by host","16/327","45/18986",0.355555555555556,20.6439687393816,17.4650178527252,1.71175421740451e-17,2.31025685270416e-15,1.70531905117366e-15,"DTX3L/RIGI/PARP9/PML/STAT1/TRIM22/APOBEC3G/ZC3H12A/CGAS/AIM2/TRIM6/IL15/APOBEC3F/TNFAIP3/LILRB1/IL27",16
"Rhinovirus","GO:0071219","cellular response to molecule of bacterial origin","30/327","242/18986",0.12396694214876,7.1976647206005,12.8451629544453,2.30148755759059e-17,2.99907637246028e-15,2.21377206084031e-15,"CMPK2/ACOD1/GBP5/CXCL10/GBP2/TNF/TRIM5/ZC3H12A/FZD5/JAK2/CD80/CD274/PDCD1LG2/IL6/PTGS2/CASP7/NFKBIZ/CXCL11/AXL/CD40/TNFAIP3/PDE4B/STAP1/LILRB1/MYD88/LILRB2/NOD2/CCL2/NFKBIA/CASP1",30
"Rhinovirus","GO:0071222","cellular response to lipopolysaccharide","29/327","228/18986",0.12719298245614,7.38497236976233,12.8400931593164,3.97316582888386e-17,5.00486455578403e-15,3.69434717422534e-15,"CMPK2/ACOD1/GBP5/CXCL10/GBP2/TNF/TRIM5/ZC3H12A/JAK2/CD80/CD274/PDCD1LG2/IL6/PTGS2/CASP7/NFKBIZ/CXCL11/AXL/CD40/TNFAIP3/PDE4B/STAP1/LILRB1/MYD88/LILRB2/NOD2/CCL2/NFKBIA/CASP1",29
"Rhinovirus","GO:0002230","positive regulation of defense response to virus by host","14/327","33/18986",0.424242424242424,24.6320081549439,17.9867878045969,9.33866292999778e-17,1.13841313588586e-14,8.4032111254649e-15,"DTX3L/RIGI/PARP9/PML/STAT1/TRIM22/APOBEC3G/ZC3H12A/CGAS/AIM2/TRIM6/APOBEC3F/LILRB1/IL27",14
"Rhinovirus","GO:0140374","antiviral innate immune response","17/327","59/18986",0.288135593220339,16.7294873788421,16.0189733456639,9.83698179007783e-17,1.161686068272e-14,8.57500057358759e-15,"IFIT1/IFIT3/OASL/OAS2/RIGI/IFIT2/IFIH1/MX1/OAS1/EIF2AK2/USP18/CXCL10/OAS3/TNF/TRIM25/DHX58/TRIM6",17
"Rhinovirus","GO:0002697","regulation of immune effector process","37/327","410/18986",0.0902439024390244,5.23966584619975,11.4890058464287,1.5438422351775e-16,1.76793327476841e-14,1.30500220836375e-14,"RSAD2/RIGI/BST2/CALHM6/DDX60/TNF/TAP2/ZC3H12A/IFNB1/FZD5/CGAS/DHX58/CD80/PANX1/TRIM6/CD274/NCF1/TREX1/CCL19/SLAMF1/IL6/NFKBIZ/P2RX7/AXL/CD40/LILRB4/SERPINB9/APPL2/STAP1/LILRB1/MYD88/JAK3/IL27/TLR3/CR1L/NOD2/FFAR2",37
"Rhinovirus","GO:0032611","interleukin-1 beta production","21/327","110/18986",0.190909090909091,11.0844036697248,14.0419225964954,2.25311148970033e-16,2.43271666273644e-14,1.79571291660327e-14,"PML/GBP5/TNF/ZC3H12A/FZD5/AIM2/IFI16/JAK2/PANX1/TMEM106A/LILRA5/CCL19/IL6/MEFV/P2RX7/TNFAIP3/LILRB4/CCR7/MYD88/NOD2/CASP1",21
"Rhinovirus","GO:0032651","regulation of interleukin-1 beta production","21/327","110/18986",0.190909090909091,11.0844036697248,14.0419225964954,2.25311148970033e-16,2.43271666273644e-14,1.79571291660327e-14,"PML/GBP5/TNF/ZC3H12A/FZD5/AIM2/IFI16/JAK2/PANX1/TMEM106A/LILRA5/CCL19/IL6/MEFV/P2RX7/TNFAIP3/LILRB4/CCR7/MYD88/NOD2/CASP1",21
"Rhinovirus","GO:0071216","cellular response to biotic stimulus","30/327","269/18986",0.111524163568773,6.4752225367484,11.9727741448675,4.4115810642571e-16,4.63093467828543e-14,3.4183303568074e-14,"CMPK2/ACOD1/GBP5/CXCL10/GBP2/TNF/TRIM5/ZC3H12A/FZD5/JAK2/CD80/CD274/PDCD1LG2/IL6/PTGS2/CASP7/NFKBIZ/CXCL11/AXL/CD40/TNFAIP3/PDE4B/STAP1/LILRB1/MYD88/LILRB2/NOD2/CCL2/NFKBIA/CASP1",30
"Rhinovirus","GO:0050688","regulation of defense response to virus","17/327","66/18986",0.257575757575758,14.9551478083588,15.0342177879364,7.99832383519025e-16,8.16909885761728e-14,6.0300307719073e-14,"DTX3L/RIGI/HERC5/PARP9/PML/STAT1/TRIM22/APOBEC3G/ZC3H12A/CGAS/AIM2/TRIM6/IL15/APOBEC3F/TNFAIP3/LILRB1/IL27",17
"Rhinovirus","GO:0060759","regulation of response to cytokine stimulus","26/327","199/18986",0.130653266331658,7.58588047269989,12.3636487887156,9.24047247062582e-16,9.18940670170921e-14,6.78317231223225e-14,"RIGI/IFIH1/ISG15/IRF7/OAS1/STAT2/PARP9/USP18/OAS3/PARP14/NLRC5/HSPA1B/TRIM6/TREX1/HSPA1A/USP25/TRIM56/IL6/IL1RN/AXL/CD40/TNFAIP3/STAP1/IKBKE/CXCR4/CASP1",26
"Rhinovirus","GO:0043122","regulation of canonical NF-kappaB signal transduction","31/327","305/18986",0.101639344262295,5.9012984408683,11.4234162424027,1.91755637207029e-15,1.85806295642401e-13,1.37153154817443e-13,"TNFSF10/BST2/IFIT5/ZC3HAV1/STAT1/TNF/TRIM5/TRIM25/TRIM22/TRIM21/ZC3H12A/APOL3/TMEM106A/TRIM6/TRAF1/CCL19/BIRC3/OPTN/CD40/TNFAIP3/LILRB4/CCR7/CASP10/MYD88/GBP7/TLR3/NOD2/IKBKE/RBCK1/NFKBIA/CASP1",31
"Rhinovirus","GO:0050777","negative regulation of immune response","26/327","207/18986",0.1256038647343,7.2927063481511,12.0509532635369,2.43729519939519e-15,2.3026346396286e-13,1.69969270484138e-13,"ISG15/ACOD1/OAS1/STAT2/USP18/OAS3/PARP14/TRIM21/ZC3H12A/IFNB1/IFI16/NLRC5/NMI/DHX58/CD80/CD274/TRAFD1/TREX1/SLAMF1/TNFAIP3/LILRB4/SERPINB9/LILRB1/JAK3/CR1L/NOD2",26
"Rhinovirus","GO:0032731","positive regulation of interleukin-1 beta production","16/327","62/18986",0.258064516129032,14.9835256979382,14.5996032777231,5.55540034362629e-15,5.12045314599116e-13,3.77966903995113e-13,"GBP5/TNF/FZD5/AIM2/IFI16/JAK2/PANX1/TMEM106A/LILRA5/CCL19/IL6/MEFV/P2RX7/MYD88/NOD2/CASP1",16
"Rhinovirus","GO:0050729","positive regulation of inflammatory response","23/327","162/18986",0.141975308641975,8.24325140635029,12.2566025793299,7.09079563985681e-15,6.31499115571893e-13,4.66141879992066e-13,"IFI35/GBP1/GBP5/NUPR1/GBP2/TNF/AIM2/NMI/LILRA5/IL15/IL6/PTGS2/IDO1/NFKBIZ/MEFV/CCL1/STAP1/CCR7/TLR3/FFAR2/NFKBIA/CASP1/CD47",23
"Rhinovirus","GO:0050727","regulation of inflammatory response","36/327","438/18986",0.0821917808219178,4.77215030790499,10.5733472608054,7.53405553149727e-15,6.31499115571893e-13,4.66141879992066e-13,"IFI35/ACOD1/GBP1/USP18/GBP5/NUPR1/GBP2/TNF/AIM2/NMI/JAK2/LILRA5/IL15/NCF1/TREX1/IL6/PTGS2/IDO1/NFKBIZ/RICTOR/BIRC3/MEFV/CCL1/TNFAIP3/STAP1/CCR7/MYD88/ADA/TNFAIP6/TLR3/IL2RA/NOD2/FFAR2/NFKBIA/CASP1/CD47",36
"Rhinovirus","GO:0032612","interleukin-1 production","21/327","130/18986",0.161538461538462,9.37911079745942,12.6905317291448,7.68598234096967e-15,6.31499115571893e-13,4.66141879992066e-13,"PML/GBP5/TNF/ZC3H12A/FZD5/AIM2/IFI16/JAK2/PANX1/TMEM106A/LILRA5/CCL19/IL6/MEFV/P2RX7/TNFAIP3/LILRB4/CCR7/MYD88/NOD2/CASP1",21
"Rhinovirus","GO:0032652","regulation of interleukin-1 production","21/327","130/18986",0.161538461538462,9.37911079745942,12.6905317291448,7.68598234096967e-15,6.31499115571893e-13,4.66141879992066e-13,"PML/GBP5/TNF/ZC3H12A/FZD5/AIM2/IFI16/JAK2/PANX1/TMEM106A/LILRA5/CCL19/IL6/MEFV/P2RX7/TNFAIP3/LILRB4/CCR7/MYD88/NOD2/CASP1",21
"Rhinovirus","GO:0035458","cellular response to interferon-beta","12/327","27/18986",0.444444444444444,25.804960924227,17.0744888275816,7.6869434549635e-15,6.31499115571893e-13,4.66141879992066e-13,"PNPT1/ACOD1/OAS1/STAT1/IRF1/IFNB1/AIM2/IFI16/TRIM6/TREX1/IFITM2/TLR3",12
"Rhinovirus","GO:0002819","regulation of adaptive immune response","26/327","221/18986",0.117647058823529,6.83072495053067,11.5419556810013,1.19867431980295e-14,9.63785160539434e-13,7.11419249155165e-13,"RSAD2/IRF7/TNF/TAP2/ZC3H12A/IRF1/IFNB1/FZD5/TNFSF13B/JAK2/CD80/CD274/CCL19/SLAMF1/IL6/NFKBIZ/P2RX7/CD40/TNFAIP3/LILRB4/LILRB1/ADA/JAK3/IL27/CR1L/NOD2",26
"Rhinovirus","GO:0062207","regulation of pattern recognition receptor signaling pathway","24/327","184/18986",0.130434782608696,7.57319505384922,11.860920687223,1.26749403930819e-14,9.97887494697011e-13,7.36591930738313e-13,"OASL/RSAD2/IFI35/ACOD1/IRF7/EIF2AK2/ZC3HAV1/GBP5/DDX60/GBP2/IRF1/CGAS/IFI16/RNF125/DHX58/HSPA1B/TREX1/HSPA1A/BIRC3/MEFV/TNFAIP3/APPL2/MYD88/NOD2",24
"Rhinovirus","GO:0007249","canonical NF-kappaB signal transduction","31/327","327/18986",0.0948012232415902,5.50426918796585,10.8764965391966,1.32133217053967e-14,1.01904372907539e-12,7.52208432208405e-13,"TNFSF10/BST2/IFIT5/ZC3HAV1/STAT1/TNF/TRIM5/TRIM25/TRIM22/TRIM21/ZC3H12A/APOL3/TMEM106A/TRIM6/TRAF1/CCL19/BIRC3/OPTN/CD40/TNFAIP3/LILRB4/CCR7/CASP10/MYD88/GBP7/TLR3/NOD2/IKBKE/RBCK1/NFKBIA/CASP1",31
"Rhinovirus","GO:0001959","regulation of cytokine-mediated signaling pathway","24/327","187/18986",0.128342245989305,7.45169994603346,11.7371481165031,1.83116323558388e-14,1.3839931734543e-12,1.02159633143101e-12,"ISG15/IRF7/OAS1/STAT2/PARP9/USP18/OAS3/PARP14/NLRC5/HSPA1B/TRIM6/TREX1/HSPA1A/USP25/TRIM56/IL6/IL1RN/AXL/CD40/TNFAIP3/STAP1/IKBKE/CXCR4/CASP1",24
"Rhinovirus","GO:0030522","intracellular receptor signaling pathway","33/327","384/18986",0.0859375,4.98963111620795,10.4557100037593,3.0211485727517e-14,2.2386118542017e-12,1.65243420387864e-12,"OASL/RSAD2/RIGI/IFIH1/IRF7/OAS1/EIF2AK2/ZC3HAV1/PML/GBP5/DDX60/OAS3/GBP2/TNF/TRIM25/UNC93B1/CGAS/IFI16/RNF125/DHX58/DNAJA1/JAK2/HSPA1B/MAP2K6/TREX1/HSPA1A/BIRC3/MEFV/TNFAIP3/MYD88/TLR3/NOD2/NFKBIA",33
